id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1273760,Boutique hotel in Vancouver · ★4.86 · 1 bedroom · 2 beds · 1 private bath,6033,Cam,,Downtown,49.28478,-123.1192,Private room,323,2,559,2023-08-20,4.52,2,271,55,Exempt
1291394,Guest suite in Vancouver · ★4.88 · 3 bedrooms · 4 beds · 2 baths,7021457,Leila,,Kitsilano,49.26889,-123.18543,Entire home/apt,150,30,43,2023-08-31,0.35,2,127,4,22-174488
1309315,Home in Vancouver · ★4.29 · 4 bedrooms · 4 beds · 3 baths,7116781,Hugh & Caryn,,Mount Pleasant,49.26719,-123.10982,Entire home/apt,399,5,7,2022-08-29,0.06,1,0,0,22-233957
1316477,Rental unit in Vancouver · ★4.86 · 1 bedroom · 1 bed · 1 bath,600607,Martello,,Downtown,49.27859,-123.11993,Entire home/apt,83,90,7,2020-09-30,0.07,34,0,0,
1343411,Condo in Vancouver · ★4.70 · 1 bedroom · 1 bed · 1 bath,6904778,Mari,,Downtown Eastside,49.27627,-123.10013,Entire home/apt,95,1,55,2020-11-22,0.57,1,0,0,18-615245
1343519,Home in Vancouver · ★4.49 · 1 bedroom · 1 bed · 1 private bath,70137,Kai,,West End,49.28247,-123.13068,Private room,95,30,70,2023-07-28,0.62,4,306,4,18-573700
1360765,Rental unit in Vancouver · ★4.76 · 1 bedroom · 1 bed · 1 bath,7338933,Sadiq,,Downtown,49.284,-123.11432,Entire home/apt,97,30,121,2023-08-25,0.98,3,155,6,
1361276,Home in Vancouver · ★4.72 · 3 bedrooms · 2 beds · 1 bath,1743089,Darren,,Kensington-Cedar Cottage,49.25808,-123.07538,Entire home/apt,160,5,18,2023-03-21,0.15,3,0,2,23-156612
1365609,Rental unit in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,7336501,Maha,,West End,49.27932,-123.12911,Entire home/apt,267,4,175,2023-08-19,1.43,1,124,40,23-156274
1380472,Rental unit in Vancouver · ★4.94 · 1 bedroom · 1 bed · 1 bath,6848356,Tina,,Downtown,49.28284,-123.12335,Entire home/apt,250,30,17,2023-07-02,0.14,1,306,7,
1393599,Condo in Vancouver · 2 bedrooms · 2 beds · 2 baths,2118525,Slavica,,Downtown,49.27393,-123.10069,Entire home/apt,265,30,1,2022-12-10,0.11,1,145,1,
1399744,Rental unit in Vancouver · ★4.77 · 2 bedrooms · 4 beds · 2 baths,7560143,Sandy,,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450,30,13,2023-05-17,0.12,1,139,1,
1502887,Rental unit in Vancouver · ★4.80 · 2 bedrooms · 2 beds · 2 baths,600607,Martello,,Downtown,49.29014,-123.12716,Entire home/apt,132,180,5,2018-12-01,0.04,34,25,0,
1507975,Home in Vancouver · ★4.72 · 1 bedroom · 1 bed · 1 private bath,51695,Natasha & Paolo,,Riley Park,49.24882,-123.09121,Private room,81,3,335,2023-08-29,2.74,1,126,43,23-156566
1525113,Rental unit in Vancouver · ★4.47 · Studio · 1 bed · 1 bath,600607,Martello,,West End,49.29101,-123.14085,Entire home/apt,80,30,17,2023-08-08,0.15,34,36,5,
1610084,Guesthouse in Vancouver · ★4.88 · Studio · 2 beds · 1 bath,8556789,Lana,,Kensington-Cedar Cottage,49.259355585297335,-123.06131358343916,Entire home/apt,191,2,180,2023-08-02,1.48,1,322,33,23-157136
1620084,Guest suite in Vancouver · 1 bedroom · 1 bed · 1 bath,8618932,Fawziah,,Kensington-Cedar Cottage,49.24001,-123.08278,Entire home/apt,125,7,2,2023-06-02,0.04,1,118,1,706663
1623556,Home in Vancouver · ★4.66 · 2 bedrooms · 2 beds · 1 bath,8633501,Robin,,Riley Park,49.25259,-123.09292,Entire home/apt,94,3,328,2023-08-19,2.70,1,136,38,23-156561
1629480,Guest suite in Vancouver · ★4.82 · 1 bedroom · 1 bed · 1 bath,8660533,Tracy And Richard,,Riley Park,49.25225,-123.10756,Entire home/apt,73,30,142,2023-07-01,1.25,1,156,6,
1657214,Loft in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2 baths,8784861,Dianna,,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250,30,5,2021-05-08,0.04,1,340,0,
